㔶	kong
地图规范	ti tu gui fan
地图设计	ti tu se ji
地图评价	ti tu pin ga
地图语言	ti tu nyu nien
地图量算	ti tu liong son
地图集	ti tu ji
地圈	ti qon
地地导弹	ti ti dau tan
地地道道	ti ti tau tau
地址	ti zi
地址变换	ti zi bien won
地址总线	ti zi zeng xien
地址映射	ti zi yang xia
地址栏	ti zi lan
地址码	ti zi ma
地址部	ti zi pu
地坑	ti kang
地块	ti kuai
地坛	ti tan
地坛公园	ti tan gung yon
地坪	ti piang
地垄	ti leng
地垄墙	ti leng qiong
地垒	ti lei
地埋灯	ti mai den
地域	ti yu
地域性	ti yu xin
地域类型	ti yu lei xin
地域系统	ti yu xi teng
地域观念	ti yu guon nien
地基	ti ji
地基基础	ti ji ji qyu
地基承载	ti ji cen zoi
地堂腿	ti tong toi
地堡	ti bau
地堪院	ti kon yon
地塌天荒	ti ta tien fong
地塞米松	ti se mi seng
地壳	ti ko
地壳均衡	ti ko jyun hen
地壳运动	ti ko yun teng
地处	ti qyu
地大	ti tai
地大喊	ti tai hang
地大物博	ti tai wu bo
地头	ti teu
地头蛇	ti teu xia
地契	ti qi
地委	ti wei
地委书记	ti wei xyu ji
地学	ti ho
地学家	ti ho ga
地学界	ti ho gai
地学部	ti ho pu
地守候	ti seu heu
地守护	ti seu fu
地安门	ti ngon men
地宜选	ti ni xon
地宫	ti gung
地富	ti fu
地对地	ti dei ti
地对空	ti dei kung
地尽其力	ti qin qi li
地层	ti ceng
地层下陷	ti ceng ha xien
地层图	ti ceng tu
地层学	ti ceng ho
地峡	ti ha
地崩山摧	ti beng san cei
地市	ti si
地市级	ti si ji
地带	ti dai
地带性	ti dai xin
地幔	ti man
地幔隆起	ti man leng qi
地平	ti piang
地平仪	ti piang yi
地平天成	ti piang tien cen
地平线	ti piang xien
地广	ti guong
地广人希	ti guong nin xi
地广人稀	ti guong nin xi
地广兵	ti guong bin
地库	ti ku
地应力	ti yin li
地底	ti di
地底下	ti di ha
地府	ti fu
地建园	ti jien yon
地开石	ti koi xia
地弹簧	ti tan fong
地形	ti xin
地形匹配	ti xin pi pi
地形区	ti xin qyu
地形图	ti xin tu
地形基面	ti xin ji mien
地形学	ti xin ho
地形模型	ti xin mo xin
地形气候	ti xin qi heu
地役权	ti yi qon
地微撑	ti zang cang
地心	ti xin
地心吸力	ti xin ji li
地心引力	ti xin yin li
地心说	ti xin xyue
地志	ti zi
地志学	ti zi ho
地拉	ti lai
地拉那	ti lai na
地接社	ti jie xia
地摊	ti tan
地摊儿	ti tan e
地摊货	ti tan fo
地支	ti zi
地政	ti zen
地政事务	ti zen su wu
地效	ti hau
地文星	ti wen xin
地斗韵	ti deu yun
地方	ti fong
地方主义	ti fong jyu ni
地方党委	ti fong dong wei
地方军	ti fong jyun
地方分权	ti fong fen qon
地方化	ti fong fa
地方史	ti fong si
地方国营	ti fong gue yin
地方官	ti fong guon
地方官吏	ti fong guon li
地方库	ti fong ku
地方志	ti fong zi
地方性	ti fong xin
地方戏	ti fong xi
地方法院	ti fong fa yon
地方病	ti fong piang
地方矿	ti fong kuong
地方税	ti fong xyu
地方税务局	ti fong xyu wu qiu
地方舰队	ti fong jien dei
地方色彩	ti fong se coi
地方队	ti fong dei
地方风味	ti fong feng wei
地旷人稀	ti kuong nin xi
地明器	ti miang qi
地普仑	ti pu len
地木梁	ti mu liong
地机	ti ji
地权	ti qon
地条钢	ti tieu gong
地板	ti ban
地板刷	ti ban soi
地板厂	ti ban qiong
地板条	ti ban tieu
地板漆	ti ban qi
地板砖	ti ban jon
地板蜡	ti ban la
地板采暖	ti ban coi lon
地板革	ti ban gie
地极	ti ji
地枫皮	ti fen pi
地标	ti bieu
地栗	ti su
地核	ti ho
地格	ti ga
地梨	ti li
地检处	ti jien qyu
地棘天荆	ti le tien jin
地椒	ti jieu
地榆	ti yu
地槽	ti cau
地步	ti pu
地步但	ti pu tan
地段	ti ton
地毡	ti zan
地毯	ti tan
地毯厂	ti tan qiong
地毯式	ti tan si
地气	ti qi
地沃宜	ti wo ni
地沟	ti gieu
地沟油	ti gieu yiu
地沥青	ti li qiang
地波	ti bo
地洞	ti teng
地温	ti wen
地温表	ti wen bieu
地滑	ti wai
地滚球	ti gun qiu
地漏	ti leu
地火	ti fo
地灵	ti lin
地灵人杰	ti lin nin jie
地灵星	ti lin xin
地炉	ti lu
地炕	ti kang
地点	ti dien
地热	ti nie
地热井	ti nie jiang
地热学	ti nie ho
地热异常	ti nie yi qiong
地热水	ti nie xyu
地热能	ti nie len
地热能源	ti nie len yon
地热资源	ti nie zu yon
地煞	ti sa
地照梦	ti zeu meng
地牢	ti lau
地物	ti wu
地狱	ti yu
地狱之火	ti yu zi fo
地狱冰	ti yu bin
地狱判官	ti yu pon guon
地狱变相	ti yu bien xiong
地狱火	ti yu fo
地狱般	ti yu bon
地狱论坛	ti yu len tan
地狱谷	ti yu gu
地狱雷光	ti yu lei guong
地玄珠	ti xuon jyu
地王	ti wong
地球	ti qiu
地球仪	ti qiu yi
地球体	ti qiu ti
地球化学	ti qiu fa ho
地球日	ti qiu ni
地球村	ti qiu qyun
地球物理	ti qiu wu li
地球磁场	ti qiu cu qiong
地球科学	ti qiu ko ho
地球空间	ti qiu kung gan
地球表层	ti qiu bieu ceng
地球表面	ti qiu bieu mien
地理	ti li
地理专名	ti li jon miang
地理书	ti li xyu
地理位置	ti li wei zi
地理信息	ti li xin xi
地理信息系统	ti li xin xi xi teng
地理分布	ti li fen pu
地理分析	ti li fen xi
地理制图	ti li zi tu
地理剖面	ti li peu mien
地理单元	ti li dan yon
地理因子	ti li yin zu
地理图	ti li tu
地理圈	ti li qon
地理坐标	ti li co bieu
地理学	ti li ho
地理学史	ti li ho si
地理学家	ti li ho ga
地理学者	ti li ho jia
地理底图	ti li di tu
地理景观	ti li jin guon
地理杂志	ti li ca zi
地理环境	ti li fan qin
地理界线	ti li gai xien
地理盲	ti li mong
地理知识	ti li zi si
地理精度	ti li jiang tu
地理系	ti li xi
地理系统	ti li xi teng
地理纬度	ti li wei tu
地理经度	ti li jin tu
地理综合	ti li zeng ho
地理考察	ti li kau ca
地理试题	ti li si ti
地理课	ti li ko
地理过程	ti li guo cen
地理通名	ti li teng miang
地理遥感	ti li yeu gong
地理阻障	ti li zu jiong
地瓜	ti gua
地瓜干	ti gua kon
地瓜汤	ti gua tong
地生兰	ti sang lan
地生态学	ti sang toi ho
地电	ti tien
地电剖面	ti tien peu mien
地界	ti gai
地痞	ti bi
地痞流氓	ti bi liu mong
地瘠民贫	ti jia min pin
地皮	ti pi
地盘	ti pon
地直	ti ci
地相异	ti xiong yi
地矿	ti kuong
地矿厅	ti kuong tiang
地矿局	ti kuong qiu
地矿部	ti kuong pu
地砖	ti jon
地磁	ti cu
地磁力	ti cu li
地磁场	ti cu qiong
地磁学	ti cu ho
地磁极	ti cu ji
地磅	ti bong
地福康	ti fu kong
地租	ti zu
地秤	ti cen
地积	ti ji
地税	ti xyu
地税局	ti xyu qiu
地税所	ti xyu so
地税网	ti xyu mong
地穴	ti xyue
地空导弹	ti kung dau tan
地窖	ti gau
地窖子	ti gau zu
地窝子	ti wo zu
地窟	ti ku
地窨子	ti yin zu
地笑丁	ti xieu diang
地籍	ti ji
地籍图	ti ji tu
地籍簿	ti ji pu
地精	ti jiang
地级	ti ji
地级市	ti ji si
地纪胜	ti ji sen
地线	ti xien
地维	ti wei
地缆	ti lan
地缘	ti yon
地缘关系	ti yon kuan xi
地缘政治学	ti yon zen zi ho
地缘文化	ti yon wen fa
地缝	ti feng
地缝里	ti feng li
地网	ti mong
地网天罗	ti mong tien lo
地翻土	ti fan tu
地老天昏	ti lau tien fen
地老天荒	ti lau tien fong
地老虎	ti lau fu
地老鼠	ti lau xyu
地耳草	ti e cau
地肤	ti fu
地肤子	ti fu zu
地胆草	ti dan cau
地脉	ti me
地脚	ti jio
地脚螺丝	ti jio lo su
地膜	ti mo
地膜覆盖	ti mo fu goi
地自谦	ti cu qien
地自雄	ti cu xiung
地舒卷	ti xyu jon
地花鼓	ti fa gu
地藏寺	ti cong si
地藏庵	ti cong ngon
地藏王	ti cong wong
地藏经	ti cong jin
地蜜	ti mi
地蜡	ti la
地衣	ti yi
地衣学	ti yi ho
地衣淀粉	ti yi tien fen
地衣红	ti yi feng
地表	ti bieu
地表水	ti bieu xyu
地被	ti pi
地裂山崩	ti lie san beng
地裂运动	ti lie yun teng
地西泮	ti xi pon
地覆天翻	ti fu tien fan
地角	ti go
地角天涯	ti go tien nga
地计丁	ti ji diang
地译成	ti ni cen
地貌	ti mau
地貌世代	ti mau si toi
地貌倒置	ti mau dau zi
地貌图	ti mau tu
地貌学	ti mau ho
地貌序列	ti mau xyu lie
地貌成因	ti mau cen yin
地貌组合	ti mau zu ho
地貌过程	ti mau guo cen
地负海涵	ti fu hoi hon
地质	ti zi
地质公园	ti zi gung yon
地质剖面	ti zi peu mien
地质力学	ti zi li ho
地质勘探	ti zi kon tan
地质博物馆	ti zi bo wu guon
地质图	ti zi tu
地质地主	ti zi ti jyu
地质处置	ti zi qyu zi
地质学	ti zi ho
地质学家	ti zi ho ga
地质家	ti zi ga
地质局	ti zi qiu
地质师	ti zi su
地质年代	ti zi nien toi
地质录井	ti zi lu jiang
地质所	ti zi so
地质模型	ti zi mo xin
地质测量	ti zi ce liong
地质灾害	ti zi zoi hoi
地质矿产	ti zi kuong can
地质矿产部	ti zi kuong can pu
地质系	ti zi xi
地质编录	ti zi bien lu
地质部	ti zi pu
地质队	ti zi dei
地贫	ti pin
地走了	ti zeu li
地走动	ti zeu teng
地趟	ti tong
地躺拳	ti tong qon
地转风	ti jon feng
地轴	ti zeu
地边	ti bien
地运仪	ti yun yi
地远山险	ti yon san xien
地道	ti tau
地道口	ti tau kieu
地道战	ti tau zan
地邻	ti lin
地里	ti li
地金喜	ti jin xi
地钱	ti qien
地铁	ti tie
地铁口	ti tie kieu
地铁票	ti tie pieu
地铁站	ti tie zan
地铁线	ti tie xien
地铺	ti pu
地锚	ti mau
地锦	ti min
地锦草	ti min cau
地闻风	ti wen feng
地陪	ti pi
地陷	ti xien
地雷	ti lei
地雷场	ti lei qiong
地雷战	ti lei zan
地雷阵	ti lei zen
地雷震	ti lei zen
地震	ti zen
地震仪	ti zen yi
地震台	ti zen toi
地震学	ti zen ho
地震局	ti zen qiu
地震带	ti zen dai
地震棚	ti zen peng
地震波	ti zen bo
地震测深	ti zen ce sen
地震源	ti zen yon
地震烈度	ti zen lie tu
地震钻机	ti zen zon ji
地震震级	ti zen zen ji
地震预报	ti zen yu bau
地霉素	ti mi su
地霸	ti ba
地静立	ti qin li
地面	ti mien
地面信号	ti mien xin hau
地面升起	ti mien sen qi
地面实况	ti mien si kuong
地面战	ti mien zan
地面材料	ti mien coi lieu
地面水	ti mien xyu
地面沉降	ti mien cen gong
地面温度	ti mien wen tu
地面灌溉	ti mien guon goi
地面监视	ti mien gan si
地面砖	ti mien jon
地面站	ti mien zan
地面蒸发	ti mien zen fai
地面逆温	ti mien ni wen
地面部队	ti mien pu dei
地飘散	ti pieu san
地骨皮	ti gui pi
地高辛	ti gau xin
地魔	ti mo
地鳖	ti bie
地鳖虫	ti bie qiung
地黄	ti wong
地黄丸	ti wong yon
地黄牛	ti wong niu
地鼠	ti xyu
地龙	ti liung
圹	kuong
场	qiong
场上	qiong xiong
场下	qiong ha
场主	qiong jyu
场依存性	qiong yi ceng xin
场内	qiong nyu
场内外	qiong nyu ngoi
场助扩散	qiong qyu kue san
场区	qiong qyu
场合	qiong ho
场圃	qiong pu
场地	qiong ti
场地分析	qiong ti fen xi
场地地形	qiong ti ti xin
场地场合	qiong ti qiong ho
场地工程	qiong ti gung cen
场地感	qiong ti gong
场地自治	qiong ti cu zi
场地设施	qiong ti se si
场地面积	qiong ti mien ji
场场	qiong qiong
场址	qiong zi
场坝	qiong ba
场外	qiong ngoi
场头	qiong teu
场子	qiong zu
场屋	qiong wu
场强	qiong qiong
场强仪	qiong qiong yi
场房	qiong fong
场所	qiong so
场所感	qiong so gong
场效应	qiong hau yin
场效应晶	qiong hau yin jin
场效应管	qiong hau yin guon
场景	qiong jin
场次	qiong cu
场氧化层	qiong yong fa ceng
场流分级	qiong liu fen ji
场源	qiong yon
场点	qiong dien
场电位	qiong tien wei
场磁铁	qiong cu tie
场站	qiong zan
场规	qiong gui
场解吸	qiong gai ji
场记	qiong ji
场论	qiong len
场边	qiong bien
场道	qiong tau
场部	qiong pu
场里	qiong li
场长	qiong qiong
场院	qiong yon
场面	qiong mien
场面话	qiong mien wa
场频	qiong pin
场馆	qiong guon
圻	qi
圻春	qi qyun
圾	ji
址	zi
坂	fan
坂口反应	fan kieu fan yin
坂垣征	fan yon zen
坂安治	fan ngon zi
坂崎	fan qi
坂崎琢磨	fan qi zo mo
坂崎由莉	fan qi yiu li
坂崎良	fan qi liong
坂本龙	fan ben liung
坂田荣男	fan tien leng lang
坂田黄	fan tien wong
均	jyun
均三甲苯	jyun san ga ben
均享	jyun xiong
均价	jyun ga
均位力积	jyun wei li ji
均依	jyun yi
均值	jyun zi
均分	jyun fen
均列	jyun lie
均势	jyun si
均匀	jyun yun
均匀值	jyun yun zi
均匀分布	jyun yun fen pu
均匀度	jyun yun tu
均匀沉淀	jyun yun cen tien
均匀线	jyun yun xien
均化器	jyun fa qi
均告	jyun gau
均告失败	jyun gau si pai
均夷线	jyun yi xien
均安	jyun ngon
均安镇	jyun ngon zen
均富	jyun fu
均居	jyun jyu
均差	jyun cai
均摊	jyun tan
均数	jyun su
均方连续	jyun fong lien xyu
均是由	jyun si yiu
均权	jyun qon
均热炉	jyun nie lu
均照	jyun zeu
均田	jyun tien
均田制	jyun tien zi
均田制度	jyun tien zi tu
均相聚合	jyun xiong jyu ho
均窑	jyun yeu
均等	jyun den
均等分裂	jyun den fen lie
均等化	jyun den fa
均线	jyun xien
均衡	jyun hen
均衡化	jyun hen fa
均衡器	jyun hen qi
均衡性	jyun hen xin
均衡点	jyun hen dien
均衡生产	jyun hen sang can
均衡论	jyun hen len
均裂	jyun lie
均质机	jyun zi ji
均贫	jyun pin
均贫富	jyun pin fu
均输法	jyun xyu fa
均达	jyun tai
均遭	jyun zau
均须	jyun xyu
坊	fong
坊地	fong ti
坊子	fong zu
坊子区	fong zu qyu
坊本	fong ben
坊肆	fong su
坊间	fong gan
坌	den
坌鸟先飞	den dieu xien fi
坎上乡	kon xiong xiong
坎井之蛙	kon jiang zi wa
坎代	kon toi
坎伯	kon be
坎伯兰	kon be lan
坎伯利	kon be li
坎佩切	kon pi qie
坎儿	kon e
坎儿井	kon e jiang
坎农	kon leng
坎坎坷坷	kon kon ko ko
坎坷	kon ko
坎坷一生	kon ko yi sang
坎坷不平	kon ko bei piang
坎坷人生	kon ko nin sang
坎坷路	kon ko lu
坎坷道路	kon ko tau lu
坎城	kon cen
坎城影展	kon cen yang zen
坎培	kon pi
坎培拉	kon pi lai
坎大哈	kon tai ha
坎子	kon zu
坎宁	kon ning
坎宁安	kon ning ngon
坎尔井	kon ng jiang
坎尼	kon ni
坎巴	kon ba
坎市	kon si
坎布里亚郡	kon bu li nga fen
坎布里奇	kon bu li qi
坎帕尼亚	kon pa ni nga
坎帕拉	kon pa lai
坎德	kon de
坎德拉	kon de lai
坎托	kon to
坎昆	kon kun
坎普	kon pu
坎止流行	kon zi liu hang
坎比	kon bi
坎比亚	kon bi nga
坎比亚索	kon bi nga so
坎波	kon bo
坎洼	kon wa
坎特	kon te
坎特伯雷	kon te be lei
坎纳拉	kon la lai
坎肩	kon jien
坎诺特	kon lo te
坎贝尔	kon bi ng
坎顿	kon den
坏	fai
坏东西	fai deng xi
坏主意	fai jyu yi
坏习惯	fai xi guan
坏书	fai xyu
坏事	fai su
坏人	fai nin
坏人坏事	fai nin fai su
坏人心术	fai nin xin xyu
坏分子	fai fen zu
坏名声	fai miang xiang
坏块	fai kuai
坏处	fai qyu
坏天气	fai tien qi
坏女孩	fai nyu hai
坏孩子	fai hai zu
坏官	fai guon
坏小子	fai xieu zu
坏小孩	fai xieu hai
坏帐	fai jiong
坏得多	fai de do
坏心	fai xin
坏心眼	fai xin ngan
坏心肠	fai xin qiong
坏恶	fai ngo
坏掉	fai die
坏植散群	fai zi san qyun
坏死	fai su
坏死性	fai su xin
坏死病毒	fai su piang tu
坏毛病	fai mau piang
坏水	fai xyu
坏法乱纪	fai fa lon ji
坏消息	fai xieu xi
坏灭	fai mie
坏点	fai dien
坏猫	fai mieu
坏球	fai qiu
坏男孩	fai lang hai
坏疽	fai jyu
坏相	fai xiong
坏种	fai jiung
坏绅	fai sen
坏脾气	fai pi qi
坏良心	fai liong xin
坏蛋	fai tan
坏血	fai xyue
坏血病	fai xyue piang
坏血酸	fai xyue son
坏裳为裤	fai xiong wei ku
坏话	fai wa
坏账	fai jiong
坏运	fai yun
坏透	fai teu
坐	co
坐上	co xiong
坐上去	co xiong qie
坐上来	co xiong loi
坐上琴心	co xiong qin xin
坐下	co ha
坐不住	co bei qyu
坐不垂堂	co bei qyu tong
坐不安席	co bei ngon xi
坐不改姓	co bei goi xiang
坐不稳	co bei wen
坐不窥堂	co bei kui tong
坐不起	co bei qi
坐不重席	co bei qiung xi
坐于涂炭	co yu tu tan
坐井观天	co jiang guon tien
坐享其功	co xiong qi gung
坐享其成	co xiong qi cen
坐以待旦	co yi toi tan
坐以待毙	co yi toi bi
坐会	co fi
坐位	co wei
坐位表	co wei bieu
坐便器	co pien qi
坐像	co xiong
坐公车	co gung qia
坐具	co jyu
坐冷板凳	co lang ban den
坐凳	co den
坐凳栏杆	co den lan gon
坐到	co dau
坐力	co li
坐功	co gung
坐劳	co lau
坐化	co fa
坐北朝南	co be zeu lang
坐南朝北	co lang zeu be
坐卧不宁	co ngo bei ning
坐卧不安	co ngo bei ngon
坐卧不离	co ngo bei li
坐卧针毡	co ngo zen zan
坐取	co qi
坐台	co toi
坐台女	co toi nyu
坐吃山崩	co qia san beng
坐吃山空	co qia san kung
坐向	co xiong
坐呀	co nga
坐商	co xiong
坐喷气式	co pen qi si
坐困	co kun
坐困愁城	co kun ceu cen
坐在	co coi
坐地	co ti
坐地分脏	co ti fen zong
坐地分赃	co ti fen zong
坐地自划	co ti cu fa
坐地铁	co ti tie
坐坐	co co
坐垫	co tien
坐堂	co tong
坐墩	co deng
坐备	co pi
坐大	co tai
坐天下	co tien ha
坐失	co si
坐失事机	co si su ji
坐失机宜	co si ji ni
坐失良机	co si liong ji
坐好	co hau
坐姿	co zu
坐守	co seu
坐定	co tiang
坐客	co ka
坐山吃空	co san qia kung
坐山观虎	co san guon fu
坐山观虎斗	co san guon fu deu
坐山雕	co san dieu
坐席	co xi
坐庄	co zong
坐床	co cong
坐式	co si
坐待	co toi
坐得	co de
坐忘	co wong
坐怀不乱	co fai bei lon
坐抵	co di
坐拥书城	co yiung xyu cen
坐拥百城	co yiung ba cen
坐探	co tan
坐支	co zi
坐收	co seu
坐收渔利	co seu yu li
坐无虚席	co wu xyu xi
坐无车公	co wu qia gung
坐月子	co nyue zu
坐望	co wong
坐板凳	co ban den
坐果	co guo
坐标	co bieu
坐标值	co bieu zi
坐标卡	co bieu ka
坐标曲线	co bieu qyu xien
坐标系	co bieu xi
坐标纸	co bieu zi
坐标轴	co bieu zeu
坐树不言	co xyu bei nien
坐树无言	co xyu wu nien
坐椅	co yi
坐次	co cu
坐正	co jiang
坐江山	co gong san
坐法	co fa
坐浴	co yu
坐满	co mon
坐火车	co fo qia
坐牢	co lau
坐班	co ban
坐电梯	co tien ti
坐监	co gan
坐知千里	co zi qien li
坐票	co pieu
坐禁闭	co jin bi
坐禅	co dan
坐禅关	co dan kuan
坐科	co ko
坐立	co li
坐立不安	co li bei ngon
坐等	co den
坐筹帷幄	co ceu wei wo
坐罪	co jyu
坐而待弊	co e toi bi
坐而待旦	co e toi tan
坐而待毙	co e toi bi
坐而论道	co e len tau
坐背	co bi
坐舱	co cong
坐船	co qon
坐船到	co qon dau
坐船去	co qon qie
坐船来	co qon loi
坐药	co yo
坐落	co lai
坐落于	co lai yu
坐薪尝胆	co xin xiong dan
坐薪悬胆	co xin xyuon dan
坐蜡	co la
坐观成败	co guon cen pai
坐观虎斗	co guon fu deu
坐视	co si
坐视不救	co si bei jiu
坐视不理	co si bei li
坐视不管	co si bei guon
坐视成败	co si cen pai
坐言起行	co nien qi hang
坐诊	co jiang
坐误	co wu
坐谈会	co tan fi
坐贾行商	co ga hang xiong
坐赃	co zong
坐起	co qi
坐车	co qia
坐车到	co qia dau
坐车去	co qia qie
坐车来	co qia loi
坐轮椅	co len yi
坐轿	co qieu
坐轿子	co qieu zu
坐运筹策	co yun ceu ce
坐镇	co zen
坐领乾薪	co liang qien xin
坐飞机	co fi ji
坐食山空	co si san kung
坐骑	co qi
坐骨	co gui
坐骨神经	co gui sen jin
坑	kang
坑井	kang jiang
坑人	kang nin
坑儒	kang lu
坑儒焚典	kang lu fen dien
坑农	kang leng
坑口	kang kieu
坑坑	kang kang
坑坑洞洞	kang kang teng teng
坑坑洼洼	kang kang wa wa
坑塘	kang tong
坑害	kang hoi
坑害百姓	kang hoi ba xiang
坑家败业	kang ga pai nie
坑底	kang di
坑掉	kang die
坑木	kang mu
坑杀	kang sai
坑洞	kang teng
坑洼	kang wa
坑灰未冷	kang fi wei lang
坑穴	kang xyue
坑绷拐骗	kang beng guai pien
坑蒙	kang meng
坑蒙拐骗	kang meng guai pien
坑蚀	kang si
坑起来	kang qi loi
坑道	kang tau
坑道工事	kang tau gung su
坑道战	kang tau zan
坑里	kang li
坑骗	kang pien
块	kuai
块体	kuai ti
块儿	kuai e
块儿八毛	kuai e bai mau
块内存	kuai nyu ceng
块冰	kuai bin
块净荷	kuai qin ho
块块	kuai kuai
块垒	kuai lei
块头	kuai teu
块拷贝	kuai kau bi
块料面层	kuai lieu mien ceng
块板	kuai ban
块根	kuai gien
块根作物	kuai gien zo wu
块然一身	kuai len yi sen
块煤	kuai mi
块状	kuai cong
块状图	kuai cong tu
块状崩落	kuai cong beng lai
块石	kuai xia
块砖	kuai jon
块茎	kuai jin
块茎作物	kuai jin zo wu
块茎指数	kuai jin zi su
块菌	kuai jyun
块规	kuai gui
块钱	kuai qien
块长	kuai qiong
坚	jien
坚不可摧	jien bei kie cei
坚信	jien xin
坚信不疑	jien xin bei ni
坚信不移	jien xin bei yi
坚冰	jien bin
坚决	jien ko
坚决不变	jien ko bei bien
坚决不移	jien ko bei yi
坚决声言	jien ko xiang nien
坚决执行	jien ko zi hang
坚决拥护	jien ko yiung fu
坚决贯彻	jien ko guon ce
坚劲	jien jin
坚厚	jien heu
坚固	jien gu
坚固耐用	jien gu lai yiung
坚城	jien cen
坚壁	jien bia
坚壁清野	jien bia qiang ya
坚如磐石	jien lu pon xia
坚守	jien seu
坚守不渝	jien seu bei yu
坚守岗位	jien seu gong wei
坚守自盗	jien seu cu tau
坚守阵地	jien seu zen ti
坚宗	jien zeng
坚定	jien tiang
坚定不移	jien tiang bei yi
坚定信心	jien tiang xin xin
坚定信念	jien tiang xin nien
坚定性	jien tiang xin
坚实	jien si
坚实基础	jien si ji qyu
坚强	jien qiong
坚强不屈	jien qiong bei qyu
坚强不挠	jien qiong bei leu
坚强意志	jien qiong yi zi
坚强有力	jien qiong yiu li
坚忍	jien nin
坚忍不拔	jien nin bei pai
坚戈	jien kie
坚执不从	jien zi bei qiung
坚拒	jien jyu
坚持	jien ci
坚持下去	jien ci ha qie
坚持不下	jien ci bei ha
坚持不懈	jien ci bei xie
坚持不渝	jien ci bei yu
坚持到底	jien ci dau di
坚持原则	jien ci nyuon ze
坚持己见	jien ci ji jien
坚持真理	jien ci zen li
坚挺	jien tin
坚果	jien guo
坚果壳	jien guo ko
坚毅	jien yi
坚毅不屈	jien yi bei qyu
坚牢	jien lau
坚牢度	jien lau tu
坚牢耐用	jien lau lai yiung
坚甲利兵	jien ga li bin
坚甲利刃	jien ga li len
坚甲厉兵	jien ga li bin
坚硬	jien ngang
坚硬无比	jien ngang wu bi
坚称	jien cen
坚翘	jien qieu
坚船利炮	jien qon li pau
坚苦	jien ku
坚苦卓绝	jien ku zo qie
坚苦卓越	jien ku zo yue
坚贞	jien zen
坚贞不屈	jien zen bei qyu
坚贞不渝	jien zen bei yu
坚赞	jien zan
坚辞	jien cu
坚韧	jien len
坚韧不拔	jien len bei pai
坚韧度	jien len tu
坚韧性	jien len xin
坚额健舌	jien nia qien se
坛	tan
坛主	tan jyu
坛友	tan yiu
坛台	tan toi
坛场	tan qiong
坛坛罐罐	tan tan guon guon
坛子	tan zu
坛子岭	tan zu liang
坛经	tan jin
坝	ba
坝上	ba xiong
坝体	ba ti
坝区	ba qyu
坝址	ba zi
坝基	ba ji
坝堤	ba di
坝头	ba teu
坝子	ba zu
坝桥	ba qieu
坝段	ba ton
坝王岭	ba wong liang
坝田	ba tien
坝顶	ba diang
坞	wu
坞乡集	wu xiong ji
坞墩	wu deng
坟	fen
坟丘	fen qiu
坟典	fen dien
坟冢	fen zong
坟包	fen bau
坟园	fen yon
坟地	fen ti
坟场	fen qiong
坟堆	fen dei
坟墓	fen mu
坟头	fen teu
坟山	fen san
坟岗	fen gong
坟茔	fen yin
坠下	jyu ha
坠下去	jyu ha qie
坠下来	jyu ha loi
坠体	jyu ti
坠儿	jyu e
坠入	jyu lu
坠入情网	jyu lu qin mong
坠地	jyu ti
坠失	jyu si
坠子	jyu zu
坠心	jyu xin
坠机	jyu ji
坠机身亡	jyu ji sen wong
坠楼	jyu leu
坠毁	jyu fi
坠溷飘茵	jyu den pieu yin
坠胡	jyu fu
坠落	jyu lai
坠落在	jyu lai coi
坠车	jyu qia
坠马	jyu ma
坡	po
坡口	po kieu
坡向	po xiong
坡地	po ti
坡坡	po po
坡垒	po lei
坡头区	po teu qyu
坡岸	po ngon
坡底	po di
坡度	po tu
坡田	po tien
坡积物	po ji wu
坡缕石	po lyu xia
坡耕地	po gien ti
坡脚	po jio
坡路	po lu
坡道	po tau
坡面流	po mien liu
坡顶	po diang
坤	kun
坤伶	kun lin
坤包	kun bau
坤宁宫	kun ning gung
坤宅	kun zai
坤舆	kun yu
坤表	kun bieu
坤角	kun go
坤角儿	kun go e
坤车	kun qia
坤造	kun cau
坤鞋	kun hai
坦	tan
坦丁	tan diang
坦佩雷	tan pi lei
坦克	tan kie
坦克兵	tan kie bin
坦克团	tan kie ton
坦克师	tan kie su
坦克炮	tan kie pau
坦克车	tan kie qia
坦克部队	tan kie pu dei
坦坦	tan tan
坦坦然然	tan tan len len
坦坦荡荡	tan tan dong dong
坦实	tan si
坦尼	tan ni
坦帕	tan pa
坦平	tan piang
坦承	tan cen
坦普尔	tan pu ng
坦桑	tan song
坦桑尼亚	tan song ni nga
坦波夫	tan bo fu
坦洁	tan jie
坦洲	tan jiu
坦然	tan len
坦然自若	tan len cu lo
坦率	tan soi
坦率地	tan soi ti
坦率直言	tan soi ci nien
坦登	tan deng
坦白	tan pa
坦白交代	tan pa gau toi
坦白从宽	tan pa qiung kuon
坦白罪行	tan pa jyu hang
坦白讲	tan pa gong
坦白说	tan pa xyue
坦白问题	tan pa wen ti
坦直	tan ci
坦缓	tan fon
坦胸露背	tan xiung lu bi
坦腹	tan fu
坦腹东床	tan fu deng cong
坦荡	tan dong
坦荡荡	tan dong dong
坦葛	tan gie
坦言	tan nien
坦诚	tan cen
坦诚以待	tan cen yi toi
坦诚相待	tan cen xiong toi
坦诚相见	tan cen xiong jien
坦赞铁路	tan zan tie lu
坦迪	tan di
坦途	tan tu
坦陈	tan cen
坦露	tan lu
坩	tan
坩埚	tan wo
坩埚钢	tan wo gong
坩锅	tan wo
坪	piang
坪上	piang xiong
坪上村	piang xiong qyun
